Latin Stem,Irish Stem,Latin Lemma,Irish Autodate Lemma,Source
aj.'ne:,/ˈaj.nʲe:.ðe,Aenēās,aenee\dae,Sg.
ka.'len.d,/ˈko.Lən.də.rəxt/,kalendae,colland\oracht,Ml.
e:.o.le:n.s,/ˈew.lʲe:ns.te/,aeolēnsis,eolens\tae,Sg.
i:n.skri:.'ben.d,/ˈinʲ.ʃkʲrʲi:.vʲənd/,īnscrībendum,inscríbend,Ml.
la.'ti:.n,/ˈla.dʲən/,Latīna,Laiten,Ml.
le.'gen.d,/ˈlʲe:.ɣʲənd/,legendum,léigend,"Wb.,Ml."
ma:r.'kel.l,/ˈmar.kəLʲ/,Mārcellus,Marcill,Sg.
mas.ku.'li:.n,/ˈma.sku.lʲən.de/,masculīnus,masculin\dae,Sg.
new.'tra:.l,/ˈnʲew.du.ra:l.de/,neutrālis,neuturál\dae,Sg.
'no.ta:.ri,/ˈno.də.rʲe/,notārius,not/aire,Wb.
or.di.n,/ˈor.dən/,ōrdinem,ordan,Blathmac
pa.ra.'di:.s,/ˈpar.dəs/,paradīsus,Pardas,MG
ro:.'ma:.n,/ˈro:.ɱa:n/,rōmānus,rómán,"Wb.,Sg.,MG"
sa.'ker.do.tal,/ˈsa.gər.də.tə.ləxt/,sacerdotal,sacerdotal\acht,Ml.
ˈskrip.tr,/ˈʃkʲrʲep.tər/,*scriptra,screptar,McManus/Other
skri:.'ben.d,/ˈʃkʲrʲi:.vʲənd/,scrībendum,scríbend,"Wb.,Ml.,MG"
skru:.'ti.ni.,/ˈskru:.dən/,scrūtinium,scrútan,MG
spir.'ta:.l,/ˈʃpʲir.ta:l.de/,*spirtālis,spirtál\de,Wb.
tro:.ˈja:.n,/ˈtroj.an.de/,trōiānus,troían\dae,Sg.
hu.mi.li.ˈta:.t,/ˈu.ɱəl.do:dʲ/,humilitātem,umaldóit,"Wb.,Ml.,MG"
